3316C1E9	Geoffrey Mazeroff A
7632AF12	“INTERMED”: a method to assess health service needs
7DAA963B	Partitioning the effects of biodiversity and environmental heterogeneity for productivity and mortality in a tropical tree plantation
78D69407	“How Do You Remember You Ate … ?” a Delphi Technique Study to Identify Retrieval Categories from Fourth-Grade Children
7676CEBD	Application of pyrolysis-gas chromatography and hierarchical cluster analysis to the discrimination of the Chinese traditional medicine Dendrobium candidum Wall. ex Lindl.
147433BF	The multi-isotope process monitor: Non-destructive, near-real-time nuclear safeguards monitoring at a reprocessing facility
6E1B2EC5	School level recognition from children's drawings and writing
766DD854	Application of near-infrared spectroscopy for the diagnosis of colorectal cancer in resected human tissue specimens
79055E2A	Association between SCMV Resistance and Macroarray-based Expression Patterns in Maize Inbreds
78709701	Auto-cut for web images
78C75E01	Analysis of NaCl stress response in Tunisian and reference lines of Medicago truncatula
7E2D2D5F	Complementary Stimulation of Hepatobiliary Transport and Detoxification Systems by Rifampicin and Ursodeoxycholic Acid in Humans
7E116FB8	Identification of driver operations with extraction of driving primitives
7E3956F9	Stacked trees: a new hybrid visualization method
17172B5F	Cholinesterase Active Center. Statistical Analysis of Structure Variability
0573BC20	Comparing SOM neural network with Fuzzy c
7F2FEFB5	Vertical emission profiles for Europe based on plume rise calculations
7B0DDF46	Rapid assessment of octocoral diversity and habitat on Saba Bank, Netherlands Antilles.
80132443	Quality control for Coptidis rhizoma through the determination of five alkaloids by HPLC–ELSD coupled with chemometrics
78D122D0	Discovering strategic multi-agent behavior in a robotic soccer domain
782979BD	Automatic content-based temporal alignment of image sequences with varying spatio-temporal resolution
788D5683	Study of a patient population investigated for excessive daytime sleepiness (EDS)
80A7EB62	FREE CLASSIFICATION OF VOCAL IMITATIONS OF EVERYDAY SOUNDS
60044DF5	Differential stemflow yield from European beech saplings: the role of individual canopy structure metrics
7514BC6F	Multiscale and multivariate visualizations of software evolution
028E6429	Hierarchical Clustering Based on K-Means as Local Sample(HCKM)
773095F4	Multivariate statistical classification of surface enhanced Raman spectra of chemical and biological warfare agent simulants
7ACE98CB	Clustering Heart Rate Dynamics Is Associated with β-Adrenergic Receptor Polymorphisms: Analysis by Information-Based Similarity Index
7D7805E1	Understanding the thematic structure of the Qur'an: an exploratory multivariate approach
7BF4CA69	Microarray and suppression subtractive hybridization analyses of gene expression in Puccinellia tenuiflora after exposure to NaHCO 3
7E03BBC2	Learning and optimisation of hierarchical clusterings with ART-based modular networks
5A55F26C	A Syntactic Approach and VLSI Architectures for Seismic Signal Classification.
76E737E0	The Use of Principal Component Analysis to Classify PDMS Surfactants Used to Make Rigid Polyurethane Foams Based on Their Dynamic Surface Tension Characteristics
78D8A654	Do hyperspectral transmissometers allow us to go one step further on the analysis of particulate matter characteristics of marine samples?
813EEDAC	Expression profiling of prospero in the Drosophila larval chemosensory organ: Between growth and outgrowth
58F573DB	Observational Constraints on the Theory of the IMF
76D10E32	Study of Cl-containing urban aerosol particles by ion beam analytical methods
7B55885B	A Hierarchical Clustering Methodology for the Estimation of Toxicity
77F9B466	Color image quantization by agglomerative clustering
59A75079	Curcumin inhibits PhIP induced cytotoxicity in breast epithelial cells through multiple molecular targets
7DA57ABC	Locating uniform-colored text in video frames
7A07A6ED	A unified Europe? How euro-attitudes relate to psychological differences between countries
7E839F29	Improvement on Agglomerative Hierarchical Clustering Algorithm Based on Tree Data Structure with Bidirectional Approach
80F37252	The Millennium Galaxy Catalogue: on the natural subdivision of galaxies
58586BBE	Large‐Scale Genome Analysis
590366C2	The Characteristics of Vowel Identification Errors of University-level Korean Students of American English: HCA
75904463	Gene Expression Patterns in Different Wool Densities of Rex Rabbit Using cDNA Microarray
7A753CF9	Simplified environmental impact drivers for product life cycle
771BC80E	A cross-sectional cohort survey in 2100 patients with painful diabetic neuropathy and postherpetic neuralgia: Differences in demographic data and sensory symptoms
7D4F1757	Hierarchical peer-to-peer overlay with cluster-reputation-based adaptation
3C9FC79C	DNA Microarrays and Gene Expression: Statistical analysis of array data: Dimensionality reduction, clustering, and regulatory regions
7AA357DF	Identification of gene co-regulatory modules and associated cis-elements involved in degenerative heart disease
754073C8	Structure of perceptions of older adults: evidence for multiple stereotypes.
5DDBFD9C	Cluster analysis: Application in food science and technology
5F8E3028	Classification of protein disulphide-bridge topologies
81310C02	A Genre-based Clustering Approach to Content Extraction
7A304660	X-ray microfluorescence with synchrotron radiation applied in the analysis of pigments from ancient Egypt
7959FA3D	The role of HCAs in a children's hospice and their L&D needs
75302429	3D-QSAR analysis of human immunodeficiency virus entry-1 inhibitors by CoMFA and CoMSIA
7B315C5E	Variants of synoptic-scale patterns inducing heavy rains in the Czech Republic
76D80F48	Aortic Valve and Ascending Aorta Guidelines for Management and Quality Measures
7ACF5D27	Computationally intensive multivariate statistics and relative frequency distributions in archaeology (with an application to the Early Epipaleolithic of the Levant)
761DF99A	A cluster analysis of neuronal activity in the dorsal premotor cortical area for neuroprosthetic control
80D78543	Classification and comparison of Gliricidia provenances using near infrared reflectance spectroscopy
7863ADAD	Intelligent Search Technology Combining Semantic Grid and Clustering
7ACCA4EB	A New Shopper Typology: Utilitarian and Hedonic Perspectives
79B37344	Expression pattern of the septin gene family in acute myeloid leukemias with and without MLL-SEPT fusion genes
62895A47	Assessing the Research Performance of Australian Universities
78AD2ECB	Structural analysis of flavonoids with anti-HIV activity
744B9F22	Enrichment specificity of micro and nano‐sized titanium and zirconium dioxides particles in phosphopeptide mapping
640D9E56	Design of terrestrial/satellite computer communication networks using limited-scan spot-beam satellite systems
6D1B95A0	Short Communication to SMI 2011: CAD mesh model segmentation by clustering
633F5A9B	Dependence of Flow Regime Properties on SST: Validation of large ensemble AGCM simulations and Estimation of Reanalysis pdfs.
5FC864BB	Weighted Localized Clustering: A Coverage-Aware Reader Collision Arbitration Protocol in RFID Networks
8032F79C	Visceral and spinal cord protection during thoracoabdominal aortic aneurysm repair: Clinical and laboratory update
0C214775	A syntactic approach and VISI architectures for seismic signal
7B3E8E1E	Site-Specific Gene Expression Profiles and Novel Molecular Prognostic Factors in Patients with Lower Gastrointestinal Adenocarcinoma Diffusely Metastatic to Liver or Peritoneum
7379E2D0	Classification of polypeptide spectra from rat liver samples
5A644779	Development of trade blocs in an era of globalization: Proximity still matters
795C6079	Monsoon-driven vertical fluxes of organic pollutants in the western Arabian Sea
815A877E	Script Analysis of the Hunting Process of Serial Sex Offenders
7BCD6D81	A method for classifying commercial tree species of an uneven-aged mixed species tropical forest for growth and yield model construction
80F7B4A6	FEMA: A Fast Expectation Maximization Algorithm based on Grid and PCA
63EF0EEF	Unsupervised and hierarchical cluster analysis and classification of SAR images
77F0B156	Study of Combined Fuzzy Clustering Algorithm Based on F-Statistics Hierarchy Clustering
8117BCCA	COMPARATIVE KARYOLOGICAL STUDY OF CUPPED OYSTER SPECIES
788F26EE	A new method of detecting the small-signal with uncertain frequency based on clustering analysis
7D16FEE7	Beat to Beat Classification of Long Electrocardiograms Using Entropies and Hierarchical Clustering
7B5D0771	Systematic immunohistochemical profiling of 378 brain tumors with 37 antibodies using tissue microarray technology
0603126B	Security Model for Hierarchical Clustered Wireless Sensor Networks
787F9924	Incremental on-line hierarchical clustering of whole body motion patterns
0AB038C0	Presurgical MMPI-2 Cluster Profiles Predict 1-Year Low-Back Surgery Outcomes
7DC33DED	Hierarchical Clustering for a Sensor Network of Satellites in Space
78A9B9FC	Finding the Number of Clusters in a Dataset Using an Information Theoretic Hierarchical Algorithm
767F7B6A	Suppressing the formation of dwarf galaxies via photoionization
7E5E6B9B	Behavioral contexts, food-choice coping strategies, and dietary quality of a multiethnic sample of employed parents.
7C3E8195	A serach for 'failed clusters' of galaxies
5C7F72BC	A Novel Fuzzy-Based Automatic Speaker Clustering Algorithm
7D86C7C2	Chemometric characterization of (chromatographic) lipophilicity parameters of newly synthesized s‐triazine derivatives
78F21951	Novel classification based on immunohistochemistry combined with hierarchical clustering analysis in non-functioning neuroendocrine tumor patients.
7843CA4C	Allicin-induced global gene expression profile of Saccharomyces cerevisiae
77670857	Clinical efficacy of intermittent pressure augmented–retrograde cerebral perfusion
7CD2003B	X-ray scattering processes and chemometrics for differentiating complex samples using conventional EDXRF equipment
7AB8E8D0	On the dynamical formation of accreting intermediate mass black holes
7E24BBE5	Microenvironment-specific Effects in the Application Credit Scoring Model
7AE4DCE5	CLPP and EEA profiles of microbial communities in salt marsh sediments
72B8B581	Application of Factor Analysis on Mycobacterium Tuberculosis Transcriptional Responses for Drug Clustering, Drug Target, and Pathway Detections
7B205E19	Is the LMS access frequency a sign of students' success in face-to-face higher education?
7E098170	Altered levels of nucleoside metabolite profiles in urogenital tract cancer measured by capillary electrophoresis
