7E0FCFAB	Optimal smoothing for trend removal in short term electricity demand forecasting
75678BDA	Experimental study and theoretical prediction of aging induced frequency shift of crystal resonators and oscillators
7AA36E51	Physically-Based Model of Demand with Applications to Load Management Assessment and Load Forecasting
7EF09930	Commentary on predictive models of control strategies involved in containing indoor airborne infections, Indoor Air16: 469–481
7DC56D0D	MASCEM: Electricity Markets Simulation with Strategic Agents
8127914D	Numerical simulation of solder spreading and solidification during solder jet bumping process
7DE611EB	A unified model for hot-electron currents in MOSFET's
7B15D69A	Environmental factors influencing the relationship between optical density and cell count for Listeria monocytogenes
7683B85C	Predictive modeling of the seismic cycle of the Greater San Francisco Bay Region
7C097CFB	Validation and evaluation of predictive models in hazard assessment and risk management
7EFD75EA	Performance Prophet: a performance modeling and prediction tool for parallel and distributed programs
785E574F	Evolutionary Algorithm Approaches to Modeling of Flow Stress
817926FE	Financial time series prediction using exogenous series and combined neural networks
7F3E7B1F	Software reliability prediction using multi-objective genetic algorithm
5B2B355A	Prediction-error-method-based adaptive feedback cancellation in hearing aids using pitch estimation
81649D62	On the Coding Efficiency of MCTF Update Steps for Scalable Video Coding
80E3297E	Architectural QoS Predictions in Model-Driven Development of Component-Based Software
7E73A72A	Comparison of short-term rainfall prediction models for real-time flood forecasting
7E1FD775	Colour calibration for colour reproduction
777DF9D7	Modeling Ruminal Digestibility of Carbohydrates and Microbial Protein Flow to the Duodenum
7F26BAFB	Predictive carbon nanotube models using the eigenvector dimension reduction (EDR) method
7A2C088F	Using Hybrid Data Mining Techniques for Facilitating Cross-Selling of a Mobile Telecom Market to Develop Customer Classification Model
75A9D3EF	A Storm Surge Prediction Model for the Northern Bay of Bengal with Application to the Cyclone Disaster in April 1991
7FD401F9	All-pole modeling of speech based on the minimum variance distortionless response spectrum
7ADA6D93	Validation of a Calibrated Prediction Model for Response to Growth Hormone Treatment in an Independent Cohort
777BE9E8	Predictive modeling of human operators using parametric and neuro-fuzzy models by means of computer-based identification experiment
80BD1A56	Model-based monitoring for early warning flood detection
7DD6E420	Integrating in-process software defect prediction with association mining to discover defect pattern
7C20AE0A	Integrated predictive modeling of high-mode tokamak plasmas using a combination of core and pedestal models
7D7FF54D	Direct use of PGV for estimating peak nonlinear oscillator displacements
7ECE56CD	Performance and V/sub dd/ scaling in deep submicrometer CMOS
7F2F615C	Multiproject–multicenter evaluation of automatic brain tumor classification by magnetic resonance spectroscopy
7E7F1556	Does the linear size adjustment to estimated effort improve web applications effort estimation accuracy?
7D40ACF8	Part V�sorption of pharmaceuticals and personal care products
7D96F63D	State space stability analysis of unconstrained decentralized model predictive control systems
8114B69E	Control of multivariable systems with interval parameters
7A1E75FE	NBTI-aware DVFS: a new approach to saving energy and increasing processor lifetime
5BC4BEEF	The AMG1608 dataset for music emotion recognition
76680326	An End-Use Approach to Demand Forecasting
7E683226	Churn Prediction in Telecom Using a Hybrid Two-phase Feature Selection Method
7896E637	Evaluation of modelling techniques for forest site productivity prediction in contrasting ecoregions using stochastic multicriteria acceptability analysis (SMAA)
7A4CA897	Probability of survival, early critical care process, and resource use in trauma patients
2D3398D3	Modeling industrial loads in non-residential buildings
79A387CB	Updated prediction for the BSE epidemic in dairy cattle in Japan
5B9C2268	ProRenaTa: Proactive and Reactive Tuning to Scale a Distributed Storage System
7ECA4E1F	Pitch predictors with high temporal resolution
7FA6E7C6	Adaptive on-line software aging prediction based on machine learning
8174CA33	ATM dynamic bandwidth allocation using F-ARIMA prediction model
7F8CBDFC	Efficient moving horizon estimation and nonlinear model predictive control
7FA234BD	High-temperature ampacity model for overhead conductors
766C2066	Time-Optimal Control of Saccadic Eye Movements
7E8C5A3C	The detection of fault-prone programs
7953A080	Development of hybrid predictive models and optimization techniques for machining operations
7BEE1279	A Parametric Wave Prediction Model
80DE5519	First-order tree-type dependence between variables and classification performance
79293107	Improving refinery wastewater for microalgal biomass production and CO 2 biofixation: Predictive modeling and simulation
7E77756A	Analytical drain current models for AlGaAs/GaAs MODFET's including subthreshold conduction
80D45341	System identification using Laguerre models
7AD72F2E	Forecast of mycotoxins levels in soft wheat, durum wheat and maize before harvesting with Qualimètre®
7BD05B28	Evaluation of virgin olive oil bitterness by total phenol content analysis
7DD7FD5B	Short-Term Prediction of Wind Farm Power: A Data Mining Approach
7F018817	Predicting unseen triphones with senones
801FC700	Unary prefixed Huffman coding for a group of quantized generalized Gaussian sources
7FF09A39	A Comprehensive Empirical Study of Count Models for Software Fault Prediction
7EE8EDAE	Information technology innovations: general diffusion patterns and its relationships to innovation characteristics
776F3B87	The value of the percentage of motile sperm in predicting a significant portion of the fertility variation of frozen-thawed buck semen
78A01C86	Predicting students' performance on intelligent tutoring system — Personalized clustered BKT (PC-BKT) model
78E8079B	A New Approach to Prediction of SO2 and PM10 Concentrations in Istanbul, Turkey: Cellular Neural Network (CNN)
7CFF99C8	Controlling overfitting in software quality models: experiments with regression trees and classification
80B2D543	A multiobjective module-order model for software quality enhancement
77C18040	Prospective validation of the microsatellite instability prediction models: RERtest6 and RERtest8
7F05E625	EarlyOff: using house cooling rates to save energy
79B2A709	Predicting the natural flow regime: models for assessing hydrological alteration in streams
816264EA	Robust stabilization of discrete-time nonlinear systems by certainty equivalence output feedback with applications to model predictive control
758232D3	Artificial neural networks for the prediction of peptide drift time in ion mobility mass spectrometry
0C583E76	Chapter 14 - Modeling the Kinetics of Microbial and Quality Attributes of Fluid Food During Novel Thermal and Non-Thermal Processes
6D877259	Predictive control of teleoperated constrained systems with unbounded communication delays
7D523D5F	Optimal nonlinear adaptive prediction and modeling of MPEG video in ATM networks using pipelined recurrent neural networks
832E6420	A benchmark for spatial and temporal correlation based data prediction in wireless sensor networks
803FE543	Comparison of safety performance by design types at freeway diverge areas and exit ramp sections
76CF577A	Sequential Life-Testing with Spacings, Exponential Model
7A67866F	Comparison of neurofuzzy logic and neural networks in modelling experimental data of an immediate release tablet formulation
7DF540E4	A novel method for early software quality prediction based on support vector machine
7B676479	Economic significance of predictability in Australian equities
7DEAB233	Reactor modeling of magnetically enhanced capacitive RF discharge
786A9814	Predicting Functional Role and Occurrence of Whitebark Pine (Pinus albicaulis) at Alpine Treelines: Model Accuracy and Variable Importance
5E95EAD5	Model predictive current control for PMSM considering trade-off between current ripple and number of switching operations
7ABEF957	Validation of a model for growth of Lactococcus lactis and Listeria innocua in a structured gel system: Effect of monopotassium phosphate
804A0F2C	First level text prediction using data mining and letter matching in IEEE 802.11 mobile devices
7CFA04F1	An effective capacitance based driver output model for on-chip RLC interconnects
814E08CF	Distributed model predictive control
77362DA6	Hyperspectral laser-induced fluorescence imaging for assessing apple fruit quality
7E496CEA	Oblique-incidence ionospheric soundings over Central Europe and their application for testing now casting and long term prediction models
