7632557C	Information not present<---Quality of service provision under channel fading
7F4BA5D9	Wireless Personal Communications<---High spectral efficient and flexible next generation mobile communications
7CED47F3	Advanced Information Networking and Applications<---A Novel Adaptive Scheme to Improve the Performance of the IEEE 802.11n WLANs
76720218	IEEE Communications Letters<---Exploiting Fountain Codes for Secure Wireless Delivery
7E0A559A	IEEE Transactions on Vehicular Technology<---Network-Coding-Based Signal Recovery for Efficient Scheduling in Wireless Networks
768F5B38	ACM Sigada Ada Letters<---Experimental performance analysis of ada programs in cluster system
7C89F336	Information not present<---Budget Analysis of RF Transceiver Used in 5.8GHz RFID Reader Based on the ETC-DSRC National Specifications of China
7B718212	IEEE Transactions on Wireless Communications<---A Threshold-Selective Multiuser Downlink MAC Scheme for 802.11n Wireless Networks
56A98059	Information not present<---An Introduction to Parallel and Vector Scientific Computing: Machine Implementations
62441FF4	Information not present<---Voice and Video Transmission Using XTP and FDDI
7B77BEB8	Simulation Tools and Techniques for Communications, Networks and System<---Frame capture and reliability based decider implementation in the MiXiM IEEE 802.15.4 framework
81374540	Journal of Lightwave Technology<---Distribution of Millimeter-Wave and Baseband Services Over an Integrated Reconfigurable Access Network Platform
0AE6A19C	Information not present<---Facilitating Technology Insertion in Advanced Wireless Systems Part 1: Architecture Requirements
7F75736C	Information not present<---MANET Route Optimization using Cross-Layer Enhancements in Tactical Radio Waveforms
71B5F36A	International Conference on Network Protocols<---SDJS: efficient statistics in wireless networks
8026D85D	IEEE Transactions on Instrumentation and Measurement<---An Implementation of IEEE 1588 Over IEEE 802.11b for Synchronization of Wireless Local Area Network Nodes
78B06A08	Photonic Network Communications<---OSNR model to consider physical layer impairments in transparent optical networks
7E85E29E	Information not present<---Cross-layer delay-constrained packet scheduling over multiuser wireless channels
7F07E35B	International Conference on Communications<---Wireless QoS analysis for a Rayleigh fading channel
7EEE8655	Global Communications Conference<---Transmitter optimization in MISO broadcast channel with common and secret messages
5E36C352	Information not present<---Iterative source-channel decoding with cross-layer support for wireless VoIP
7D4F00CA	International Conference on Communications<---Cross-Layer Optimization for Packetized Video Communications over Wireless Mesh Networks
7DC46289	IEEE Communications Magazine<---Application and performance of downlink beamforming techniques in UMTS
57CCEA80	Information not present<---Visible Light Communication: The standard for visible light communication
5EEB7F8F	Information not present<---Virtual subcarrier assignment with multiple subcarrier puncturing for spatial filtering of OFDM signals
7D259D71	Vehicular Technology Conference<---TEDS: a High Speed Digital Mobile Communication Air Interface for Professional Users Part I: Overview of Physical Layer
816242AB	Global Communications Conference<---Windowed OFDM for Spectrum Agile Radios
7DAC14E6	IEEE Transactions on Wireless Communications<---Local Averaging for Fast Handoffs in Cellular Networks
7E0EBB16	International Conference on Computer Communications and Networks<---Design considerations in an ATM switch design
81752E1D	Information not present<---Performance evaluation of IEEE802.16-2004 Wimax with fixed high fading channels
7DDC7B82	Information not present<---An experience of monitoring university network security using a commercial service and DIY monitoring
811DC052	Distributed Computing in Sensor Systems<---Opportunistic concurrency: A MAC protocol for wireless sensor networks
7C65B79D	International Conference on Mobile Systems, Applications, and Services<---Real-time deployment of multihop relays for range extension
7E55BE4C	Information not present<---Performance analysis of the UMTS system for Web traffic over dedicated channels
5B56A612	Vehicular Technology Conference<---Cross-Layer Enhancement for WLAN Systems based on a Distributed Queuing MAC protocol
58663A09	Information not present<---Joint admission control and resource allocation for multiuser loading in LTE networks
8004C1A7	Information not present<---Performance of a FilterBank MultiCarrier (FBMC) physical layer in the WiMAX context
597CF508	Optical Network Design and Modelling<---160 Gbps simulation of a quantum dot semiconductor optical amplifier based optical buffer
5C4F9313	Information not present<---Survivable space networks: the physical layer
7E1AD9A7	Information not present<---Optical monitor for real time thickness change measurements via lateral-translation induced phase-stepping interferometry
79E7E1CB	International Symposium on Wireless Communication Systems<---Generalized fair bidirectional relay channel
805E3106	Computer and Information Technology<---An Adaptive Policy-Based Vertical Handoff Algorithm for Heterogeneous Wireless Networks
7A8A56E5	Vehicular Technology Conference<---5GNOW: Challenging the LTE Design Paradigms of Orthogonality and Synchronicity
7BC98707	Information not present<---A cross-layer approach to multi-hop networking with cognitive radios
59F86E4A	Conference on Computational Complexity<---Design and Development of Evaluation System for In-vehicle Network Based on Rapid Prototype and Hardware in the Loop
788F92F6	Vehicular Technology Conference<---Verification of Link Performance Prediction for CDMA
80CB8C88	IEEE Communications Magazine<---High-fidelity and time-driven simulation of large wireless networks with parallel processing
7D21D269	Information not present<---A comprehensive study for dielectric charging process in silicon nitride films for RF MEMS switches using Kelvin Probe Microscopy
8139E64A	IEEE Journal on Selected Areas in Communications<---On capacity of random wireless networks with physical-layer network coding
7DDE3E5C	Information not present<---A study on noisy HFC network upstream channel failure prediction and implementation
7D419378	International Conference on Communications<---A Cross-Layer Design on the Basis of Multiple Packet Reception in Asynchronous Wireless Network
7702F32E	Information not present<---Research and implementation of physical layer protocol basing on the single-chip ZigBee platform of MC13213
80A10F48	Information not present<---A modular data link layer for underwater networks
81707000	Information not present<---Optimized link adaptation for wireless packet communications based on discrete-rate modulation and coding schemes
76DC7DE4	Consumer Communications and Networking Conference<---Transmit beamforming with imperfect CSIT in spectrum leasing for physical-layer security
8053AC65	Journal of Lightwave Technology<---Offline Impairment-Aware Routing and Wavelength Assignment Algorithms in Translucent WDM Optical Networks
7A4BF3A2	Vehicular Technology Conference<---Four-Node Relay Network with Bi-Directional Traffic Employing Wireless Network Coding with Pre-Cancellation
7FBB9AC4	Information not present<---Software implementation and performance analysis of the LTE physical layer blocks on a next generation baseband processor platform
5A1EB90A	Information not present<---Do We Need New Monitoring, or Should We Instead Make Better Use of Our Current Monitors? Lessons Learned from the Breathing Circle: We First Need to Better Understand What We are Already Monitoring
10B8A08C	Information not present<---Corpora in Applied Linguistics: Introduction to a corpus in use
7E1525BA	International Geoscience and Remote Sensing Symposium<---Monitoring volcanic threats using ASTER satellite data
7686FA39	Conference on Information Sciences and Systems<---Precise timestamp-free network synchronization
7E83724C	International Symposium on Information Theory<---Duality and stability regions of multi-rate broadcast and multiple access networks
7D2D499F	Information not present<---On the physical layer performance of the release 8 E-UTRA downlink
77DA4B0A	Applied Mechanics and Materials<---Interval Threshold Setting Method of Vertical Support Reaction for Early Warning of Concrete Bridges
7EA38C9B	Information not present<---Measurement based throughput evaluation of residual frequency offset compensation in WiMAX
7073F6DB	Information not present<---Fibre Channel and ATM: the physical layers
7CFCFE78	Asia Pacific Conference on Circuits and Systems<---Design and simulation of a baseband transceiver for IEEE 802.16a OFDM-mode subscriber stations
7544477A	Simulation<---Impact of the Physical Layer Modeling on the Accuracy and Scalability of Wireless Network Simulation
764E3A79	Archives of Ophthalmology<---Clinical Comparison of the Proview Eye Pressure Monitor With the Goldmann Applanation Tonometer and the TonoPen—Reply
80DABF3B	Information not present<---Superposition coding and network coding for mixed multicast/unicast traffic on a time-varying channel
