794848A1	The absorption spectrum of C2HD between 9 000 and 13 000 cm-1
77FF793F	Real-time display on Fourier domain optical coherence tomography system using a graphics processing unit
7FFD9EC8	An analytic nonlinear approach to sidelobe reduction
7D257F79	Nonstationary Interference Excision for Noise Radar Systems using Time-Frequency based Methods
7A43D886	J dependence of χa(14N) and χa(83Kr) for the Kr–HCN dimer
7CA4236B	Spectra of carbon disulphide in the 3400–4400 cm−1 region by Fourier transform spectroscopy
81505B3D	Motion estimation, segmentation and separation, using hypercomplex phase correlation, clustering techniques and graph-based optimization
75E36CFA	The high-resolution infrared spectrum of pyrrole between 900 and 1500cm −1 revisited
802E667F	Iterative Fourier-transform algorithm applied to computer holography
800A255D	New rotation–vibration band and potential energy function of NeH + in the ground electronic state
7E553D87	Scattering analysis using fractional Fourier with applications in mine detection
76533FBE	Observation of terahertz vibrations in Pyrococcus furiosus rubredoxin via impulsive coherent vibrational spectroscopy and nuclear resonance vibrational spectroscopy – interpretation by molecular mechanics
7F631B60	MRI image segmentation based on fast global minimization of snake model
764C7E82	Double-resonance versus pulsed Fourier transform two-dimensional infrared spectroscopy: An experimental and theoretical comparison
7D984A4F	Optical interleave-division multiple-access scheme for long distance optical fiber communication
77E3D43D	Excited state charge-transfer dynamics study of poplar plastocyanin by ultrafast pump-probe spectroscopy and molecular dynamics simulation
775E1C57	Dynamics of a prestressed Timoshenko beam subject to arbitrary external load
7D34ABC3	Depth from defocus by changing camera aperture: a spatial domain approach
7EE9F989	Square-wave Fourier transform
80D63ABF	Anytime Fuzzy Fast Fourier Transformation
78D7927C	Shape-based image retrieval using generic Fourier descriptor
768DBA29	Thermal Infrared Spectroscopy of Saturn and Titan from Cassini
59585BA2	The $L_{0}$ Regularized Mumford–Shah Model for Bias Correction and Segmentation of Medical Images
7D06BF49	Super-resolution from unregistered omnidirectional images
7CE82D72	Application of magnetic field derivatives for locating Sarmatian graves
8178CD21	Spatial Evolution of Resonant Harmonic Mode Triads in a Blasius Boundary Layer
76C75297	Overtone spectroscopy in nitrous oxide
7A1CCB43	Structure of aniline–X (X=Ar, 20Ne, 22Ne) from high resolution microwave spectroscopy data
7C228182	Reliability assessment and degradation analysis of 1.3 µm GaInNAs lasers
7CD84DDE	Rotational spectroscopic investigation of carbonyl sulfide solvated with helium atoms
803B609F	Analytic-Wavelet-Ridge-Based Detection of Dynamic Eccentricity in Brushless Direct Current (BLDC) Motors Functioning Under Dynamic Operating Conditions
7AC0149A	Modeling of light scattering properties from surface profile in thin-film solar cells by Fourier transform techniques
5888859A	Generalized Kinetic Maxwell Type Models of Granular Gases
77026ACD	Experimental and theoretical study of the electronic states and spectra of PbLi
7F0FE4D0	Discrete reconstruction of real phase objects: a comparison with computer-simulated phase objects
78AF4857	Signal energy distribution in time and frequency
8091E6D2	A phase-space beam summation formulation for ultrawide-band radiation
7CEE4D24	Fast and robust photomapping with an Unmanned Aerial Vehicle (UAV)
7F069742	An effective wavelet matrix transform approach for efficient solutions of electromagnetic integral equations
7C33F950	3D Display System Based On Digital Holography Application In Making Cartoon Holography
747F2869	Spectral Bounds on General Hard Core Predicates
80A834B4	Measuring and Improving Latency to Avoid Test Suite Wear Out
7C0F3E2C	FTNIR Spectroscopic Method for Determination of Moisture Content in Green Tea Granules
5C7D17DD	Sampling of Functions and Sections for Compact Groups
7B5AB85D	Deconvoluted Fourier-transform LNT-IR study of coordination copper(II) compounds with dextran derivatives
776FC91D	New high-resolution analysis of the { ν 1 + ν 3 } band of the 15 N 16 O 2 isotopomer of nitrogen dioxide: Line positions and intensities
7EDEB93E	Multi-level synthesis on PALs
7F80CCD7	Comparison of algorithms for compressed sensing of magnetic resonance images
80E14FD7	Harmonic coding: A low bit-rate, good-quality speech coding technique
78C905D1	Improvement of accuracy in digital holography by use of multiple holograms
79CBC5E9	Application of FT-MIR spectrometry in wine analysis
7FBA1881	Minimization of delay and crosstalk in high-speed VLSI interconnects
758938FF	Processing of multi-dimensional NMR data with the new software PROSA
7F42D12A	Structural and spectroscopic evidence of hydrogen bonding in 3-bromo-5-hydroxy-2,6-dimethylpyridine and 3-chloro-5-hydroxy-2,6-dimethylpyridine
7FC8F27B	A compact hot‐nozzle Fourier‐transform microwave spectrometer
7DCFC9B9	State assignment of controllers for optimal area implementation
7E32B9E7	Removal of power-line interference from the ECG: a review of the subtraction procedure
7B2C4501	Decay of Temperature Fluctuations in Homogeneous Turbulence before the Final Period for the Case of Multi-Point and Multi-Time in a Rotating System
6058E1B0	The Turbulence Contribution to the Pressure Term in the Scalar-Flux Equations
5B0122F8	Zur kenntnis des chinoiden zustandes—XIX: 13C-fourier-transform-spektroskopie von ortho- und para-benzochinonen/korrelation zwischen chemischer verschiebung und anderen moleküldaten
794975D6	Development of fast Fourier transform continuous cyclic voltammetry at Au microelectrode in flowing solutions as a novel method for sub-nanomolar monitoring of lidocaine in injection and biological fluids
7DB12507	Guidance in Selecting Advanced Control Techniques for Switched Reluctance Machine Drives in Emerging Applications
804AE5D8	Optimization of wafer scale H-tree clock distribution network based on a new statistical skew model
79454C09	Thresholding estimators for linear inverse problems and deconvolutions
7A2D570B	Molecular quantum control landscapes in von Neumann time-frequency phase space
7FF746F7	Fast fully 3-D image reconstruction in PET using planograms
774B206F	The temporal properties of first- and second-order vision
770C5EF9	Simple quasicrystals are sets of stable sampling
7953E17F	Spectroscopy, dynamics, and chaos of the CS2 molecule: Fourier transform and phase‐space analysis
7BB3E322	Lasing action in colloidal CdS∕CdSe∕CdS quantum wells
752290D8	Fast non-recursive computation of individual running harmonics
77F5B64A	A review of mathematical operations by optical data processing
7A8C7138	Rugate filter design: the modified Fourier transform technique
796106E2	Symmetrizing, filtering and abel inversion using fourier transform techniques
80167DF7	Ridgelet transform applied to motion compensated images
7F503CBC	Low‐energy‐electron‐diffraction system using a high‐performance electron gun and position‐sensitive detectors
7FD5E6E4	Copulas: a new insight into positive time-frequency distributions
7555B4E2	Option pricing and hedging under a stochastic volatility Lévy process model
7F0DC8E7	Suboptimal minimum cluster volume cover-based method for measuring fractal dimension
75765148	Temperature-dependent collisional broadening and shift of Q -branch transitions in the B ← X (0,0) band of CO perturbed by N 2 , CO 2 and CO
593B77AD	Operator calculus approach to solving analytic systems
797342BA	Signal post processing in frequency domain OCT and OCM using a filter bank approach
7C6DAF74	Investigation of the presence of b ions in electron capture dissociation mass spectra
7597B335	Remark on algorithm 339 [C6]: an algol procedure for the fast Fourier transform with arbitrary factors
7E839215	VOIR: a volumetric image reconstruction algorithm based on Fourier techniques for inversion of the 3-D Radon transform
7C61D11A	Measurement of tilt of a diffuse object by double-exposure speckle photography using speckle fanning in a photorefractive BaTiO 3 crystal
7E33875E	Reduced length checking sequences
78BFC58A	ESEEM Measurements of Local Water Concentration in D 2 O-Containing Spin-Labeled Systems
7D8BA514	Techniques for minimizing power dissipation in scan and combinational circuits during test application
79E60F11	Fast (4,3)D GFT-TS NMR for NOESY of small to medium-sized proteins
7F796752	Simple wavelet frames for finite functions on discrete tori
7EA03938	Effect of gain dispersion on ultrashort pulse amplification in semiconductor laser amplifiers
7F882A49	Triangle impulse response (TIR) calculation for lossy transmission line simulation
76919EFE	Exact interpolation and “integration” of fourier transform nuclear magnetic resonance spectra
7D0E35C5	On Higher Order Approximations for Hermite–Gaussian Functions and Discrete Fractional Fourier Transforms
6CF83C0C	Texture feature based on local Fourier transform
7804D073	On the Hausdorff-Young theorem for amalgams
7A6E8E34	A theory of polyspectra for nonstationary stochastic processes
8168B636	Deformation-Space Method for the Design of Biplanar Transverse Gradient Coils in Open MRI Systems
75973A3A	Approximate Likelihood for Large Irregularly Spaced Spatial Data
804E985F	A Hybrid Asymptotic Expansion Scheme: an Application to Long-term Currency Options
7E36AB84	Transform approach to electromagnetic scattering
7A316B9D	Gradient elasticity with surface energy: mode-III crack problem
7DB05F46	Autoregressive modeling of the Wigner spectrum
7AF5E0D4	A frequency domain technique based on energy radial projections for robust estimation of global 2D affine transformations
814C8757	Importance of the Dynamic Range of an Analysis Windowfunction for Phase-Only and Magnitude-Only Reconstruction of Speech
766C7232	Watermarking Digital 3-D Volumes in the Discrete Fourier Transform Domain
7E4E148E	Robust adaptive local polynomial Fourier transform
79BD4667	Infrared spectroscopy of homogeneously nucleated hydrazine aerosols: Disordered and crystalline phases
757B2CBA	Non‐uniform motion and extended media effects on the mutual coherence function: An analytic solution for spaced frequency, position, and time
7BDE435A	Minimally Supported Frequency Composite Dilation Parseval Frame Wavelets
76EC10E6	Fourier Methods for Estimating Mixing Densities and Distributions
77E66A58	A Model System for Studying the Effects of Colloidal Calcium Phosphate Concentration on the Rheological Properties of Cheddar Cheese
