08220318	Perimeter Security Post 9/11
5E1AAA6B	Classification Techniques for Biometrics
08C607AD	Face Recognition Using Convolution Filters and Neural Networks
79CD05BB	The Improvement of RSS-based Location Fingerprint Technology for Cellular Networks
73537F18	Transformation Based Walking Speed Normalization for Gait Recognition
7315F900	Security and Privacy in E-Passport scheme using Authentication Protocols and Multiple Biometrics Technology
7C5FEE6C	Autonomous and Autonomic Systems: Paradigm for Engineering Effective Software-Based Systems?
782A0E6E	Relative size of hearts and lungs of small bats
77C0D843	Small animal ocular biometry using optical coherence tomography
6296AD36	Improved Security for Fuzzy Fingerprint Vault Using Secret Sharing over a Security Token and a Server
79F5317F	Privacy: Front and Center
5EB2FA4B	A Low-Cost, Linux-Based Virtual Environment for Visualizing Vascular Structures
7F89DE95	Writer identification based on graphology techniques
329C7F26	A Double-Sided Fingerprint Sensing Method
7559C8F7	Multiplexed fingerprint recognition using holography
1908CC80	CV 990 interface test and procedure analysis of the monkey restraint, support equipment, and telemetry electronics proposed for Spacelab
7EF11720	A variant approach for human forensic identification using dental radiographs with skeleton and contour
0EF2E034	Valor del diámetro del tallo piloso en la alopecia androgenética femenina
7EC7514E	Entropy of Feature Point-Based Retina Templates
775A10B1	A scheme of fingerprint-based digital certificates
237CAA4C	Transforming the UK Border
796A5D85	A cohesive modular system for real-time stereoscopicsecure image processing and evaluation
7FEBB3A8	Calculation of fingerprints of typical antipersonnel landmines by varying the observation point and incidence angles of excitations
852C5774	국제통용운전면허증의 보안성과 운용성 강화를 위한 상호인증 및 운용 기법에 관한연구
7CAE5365	Design and fabrication of electrostatic actuators with corrugated membranes for MEMS deformable mirror in space
7C6BB251	Newborns sleep-wake patterns: the role of maternal, delivery and infant factors
7514F872	Comparing verification performance of kids and adults for Fingerprint, Palmprint, Hand-geometry and Digitprint biometrics
7B7FBFF3	Morphological algorithm for ridge extraction in fingerprint images
791EE95D	Conducting polymer nanocomposites: interactions at interfaces
79769561	Robust Biometric Identification Combining Face and Speech
7F1B9235	A Novel Approach to Malicious Executables Detection and Containment Based on Distributed System Architecture
77DE05D7	Neural network based daily activity recognition without feature extraction
794B6B73	How to comprehensively describe a biometric update mechanisms for keystroke dynamics
77A45F72	Segmentation of objects in images of natural colored surfaces
80B37BFF	Using MMSE to improve session variability estimation
7AFEF5D0	A Better Matching Accuracy for Verification a Identification Using Biometric Features
77356CAD	Kekre's transform for protecting fingerprint template
5B7E9D2E	Human Identification Using Gait
7D30CB66	New solutions to perimeter protection and point access control
7CB64F89	A secure cryptographic scheme for audio signals
7771F187	Benford's Law based detection of latent fingerprint forgeries on the example of artificial sweat printed fingerprints captured by confocal laser scanning microscopes
7A5AE1C0	Design and implementation of a system for the acquisition and three-dimensional virtual representation of the human face (tri-ident)
76F84235	Security enhanced BioEncoding for protecting iris codes
788B490C	Design and implementation of an algorithm for creating templates for the purpose of iris biometric authentication through the analysis of textures implemented on a FPGA
7EBC3A8E	Techniques for iconic image-based biometrics
846FF426	Seasonal fluctuations, biometrics, fat and non-fat masses of Dunlins Calidris alpina sakhalina migrating to Sammok Island on the west coast of Korea
7ED6F036	‘NetAccess’: Networked access to computerized-system using Iris
81E7FDFB	Linear and passive silicon diodes, isolators, and logic gates
72537613	Effects on thermal stress and exercise on blood volume in humans.
72DF0C25	A Gait Recognition Method Based on Human Posture Pick Extraction
7A4BCB3E	Threshold Estimation with Continuously Trained Models in Speaker Verification
7FC5D7A8	An event-triggered localization algorithm for mobile wireless sensor networks
7A36B83E	Investigating the reliability of positive user recognition based on multiple fingerprint images
80F76254	Integration of first and last return LiDAR with hyperspectral data to characterize forested environments.
759352AB	High-contrast, GeTe4 waveguides for mid-infrared biomedical sensing applications
7807F09A	Multiple walker recognition using wireless distributed pyro-electric sensors
7D5F89EE	Estimating pose and illumination direction for frontal face synthesis
7736E8CA	Handwritten signature verification using weighted fractional distance classification
78CD9AFD	Grammatical Inference: Introduction and Survey - Part II
7D053B78	Residual Analysis for Fingerprint Orientation Modeling
75B002DC	Computerized system for fingerprint classification using singular points
7C5EB771	Measuring fingerprint image quality using gradient
809C14F5	Detection of chemical agents in the atmosphere by passive IR remote sensing
08BD88F7	Towards robust identity inference under surveillance environments: from still images to video sequences
7F6DCC2A	Assessing Growth and Age of Whiskered Tern Chlidonias hybrida Chicks using Biometrics
84BACAF8	An adaptive extreme learning machine algorithm and its application on face recognition
805DED19	The Optical Fingerprints of Cells: Catching the Bad Guys
00BCF153	Effectiveness of Extended Invariant Moments in Fingerprint Analysis
826CDBAF	A modularized real-time indoor navigation algorithm on smartphones
80A6513A	A climate profile indicator based comparative analysis of climate change scenarios with regard to maize (Zea mays L.) cultures.
7C307F59	Combining Mouse and Keystroke Dynamics Biometrics for Risk-Based Authentication in Web Environments
792F2CCC	A Novel Application of the Classifier DECOC Based on Fingerprint Identification
80E9605D	Multibiometrics for Identity Authentication: Issues, Benefits and Challenges
730DB20C	Novel face recognition based on individual eigen-subspaces
80776EAC	Delude Remote Operating System (OS) Scan by Honeyd
7A189FCD	A First-Order Markov Model for Wellness Mobile Applications
7ABBE61C	A biometrics-based secure architecture for mobile computing
6D6EED19	Automatic methods for determining the characteristic points in face image
8480F87F	Des enabled fingerprint system
65A7F519	2D-affine invariants that distribute uniformly and can be tuned to any convex feature domain
7D26612E	An information hiding algorithm based on RDWT for fingerprint biometric, system
831A3EF8	Improving RSS-Based Indoor Positioning Algorithm via K-Means Clustering
7ABE9EEC	Asynchronous Circuit Technology is on the Market
7BC0A9E8	Research on the applications of miniature optical pattern recognition system
79439097	Exploit Kalman filter to improve fingerprint-based indoor localization
80721518	Towards an integrated analysis of anatomical and functional connectivity
5CD502D8	Verification of Integrity and Secrecy Properties of a Biometric Authentication Protocol
77C13A8C	Automatic detection of secondary creases in fingerprints
7E855288	Research on the Key Technique of Image Preprocessing in the Fingerprint Identification
7A9A13A0	Application of terahertz time-domain spectroscopy technology on cosmetics testing
0CACD8E6	Attacks on Privacy-Preserving Biometric Authentication
80EA3E27	Weighting Estimation for Texture-Based Face Recognition Using the Fisher Discriminant
77DA57E0	On the Use of Biometrics to Secure Wireless Biosensor Networks
7A5DB611	ECG based biometric authentication using ensemble of features
79A04B4C	Law enforcement: Sleuthing by computer: Forensic computer techniques help law-enforcement agencies identify suspects and organize evidence
0A5BA46F	Comparison of models for genetic evaluation of scrotal circumference in crossbred bulls
7DFD9CAC	Development of Sequential Multiple Comparison Procedure for Dose Response Test
84732EC4	Learning person-specific face representations = : Aprendendo representações específicas para a face de cada pessoa
802E01F8	Application notes - Algorithms for Assessing the Quality of Facial Images
7D766092	An Efficient Caching Mechanism for Network-Based URL Filtering by Multi-Level Counting Bloom Filters
5BAD31E1	Biometric-based Attendance System: LASU Epe Campus as Case Study
7A411595	Toward the rapid development of face and speech biometric methods
77A9EEA3	Trustworthy Network Architecture Based on Logic Trust Mechanism
5F8CEC3B	The Prüm Treaty and the Implications of the European Court of Human Rights’ Ruling Against the UK’s Policy of Keeping Fingerprints and DNA Samples of Criminal Suspects Indefinitely
3A943ABC	Method for determining the position of the pupil-based on the labelling algorithm
326CCE9D	Eyeball Localization Based on . . .
7672EDA2	An Indoor Positioning Algorithm with Kernel Direct Discriminant Analysis
78AE7BF1	Study the iris segmentation method for biometric pattern recognition
7DD54F51	Deriving and matching image fingerprint sequences for mobile robot localization
76FDF1D1	Image analysis of explosives fingerprint contamination using a Raman imaging spectrometer
