0B80918E	The Rascal Language Workbench
7E46F8FA	Stack-run adaptive wavelet image coding
6B2BDA69	General Terms Languages
7F22F4EE	Dynamically reconfigurable regular expression matching architecture
77681D98	Immediate predominators in a directed graph [H]
00874BD7	FACT: A Tool for Code Generation from Communicating Automata
79B21404	A Concurrent Instruction Scheduling and Recoding Algorithm for Power Minimization in Embedded Systems
7CC5F557	An integrated approach to rapid product development for embedded automotive control systems
7D0F63CA	Real time signal processing software for multiplierless microprocessors
816DC3A7	Integrating BON and Object-Z
63442C21	Time recovery measurements using operational GOES and transit satellites
85CEBE07	Architecture Descriptions for Retargetable Code Translation
8012B1DD	Translating refined logic programs to Mercury
5F4D3772	All-Optical Routing Limitations Due to Semiconductor Optical Amplifiers Dynamics
8002A77E	SC2: a statistical compression cache scheme
7603D0BE	Comparison of ASCET and UML - Preparations for an abstract software architecture
7A3F0DF9	3D exploration of software schedules for DSP algorithms
3B1559E3	Fundamentals of Stream Processing: Application development – data flow programming
7A75D85E	Special track on Ubiquitous Computing: Ubiquitous and Pervasive eCommerce and eBusiness: editorial message
7A3A21EF	Control of Low-Frequency Oscillation in a Hall Thruster
76EF52DF	Optimizing instruction cache performance of embedded systems
78102583	Generating methods signatures from transition state diagram: A model transformation approach
5BA87C33	Formal Modeling and Verification of Real-Time Multi-Agent Systems: The REMM Framework
58B30514	Generative programming for programmable logic controllers
75B1537D	An embedded DSL for stochastic processes: research article
806A6770	Variance quantification of functional reliability estimates using re-sampling techniques
7FF1AB1C	Distributed output encoding for multi-class pattern recognition
8335079E	An Efficient, Portable and Generic Library for Successive Cancellation Decoding of Polar Codes
787B133D	Global effects on Ionospheric Weather over the Indian subcontinent at Sunrise and Sunset
7F6D0ABB	Rapid property specification and checking for model-based formalisms
7E38A9AA	Bottom-up organic integrated circuits
8064DA74	SNS SRF time dependent cavity RF resonance shift due to Lorentz force induced mechanical excitation
75E6A30B	A new compilation technique for SIMD code generation across basic block boundaries
5FC52E10	Towards Generation of Efficient Transformations
7B1F458E	A PDP-12 interface for time-code generator/readers
7F47C86F	The Design of an Automated Test Code Generation System for SQL Stored Procedures
750F963B	MAPPING REFERENCE CODE TO IRREGULAR DSPS WITHIN THE RETARGETABLE, OPTIMIZING COMPILER COGEN(T)
7BC9CDF2	Symbolic semi-discretization of partial differential equation systems
59A8B4DF	Performance of Ds Receiver Code Acquisition Using Matched Filters and Median Filters in Bit-pulsed Tone Jamming
777B199E	Multi-view refinement of AO-connectors in distributed software systems
6E7A5AF3	Bit error rate in an asynchronous DS/CDMA system using Markovian SS codes
717B17E5	ArchSPL-MDD: An ADL-Based Model-Driven Strategy for Automatic Variability Management
7DF9099B	Agent-based control system for next generation manufacturing
7A0D53C5	Test Software Generation Productivity and Code Quality Improvement by applying Software Engineering Techniques
860D3C26	High abstraction level design and implementation framework for Wireless Sensor Networks
05605DCB	Rapid prototyping for radio-frequency geolocation applications
7F4ABDC8	Language specification by multi-axiom grammars
71916DB1	GPS receiver search techniques
7BC7C9DA	Formal methods for broadband and multimedia systems (tutorial)
59A733C2	Generation of dataflow graphical object code for the Lapse programming language
68CD4326	Experience in the Integration of Heterogeneous Models in the Model-driven Engineering of High-Integrity Systems
80284766	SAVANT/TyVIS/WARPED: components for the analysis and simulation of VHDL
7BE673D2	Stream Processing for Embedded Domain Specific Languages
80EBCF9F	A software solution for ambulatory healthcare facilities in the Republic of Serbia
59D2C3A5	Code Generation for Expressions with Common Subexpressions
07BD25FC	Targeting System Evolution by Explicit Modeling of Control Flows Using UML 2 Activity Charts
7E5417EB	A UUT-centric test specification simplifies digital functional test development
7D28FB15	Towards practical prevention of code injection vulnerabilities on the programming language level
5E9F6B54	Automatic Hybrid MPI+OpenMP Code Generation with llc
5B69E5C0	Synchronous Programming Techniques for Embedded Systems: Present and Future
7AB3023A	The use of pseudo-random signals in determining properties of electro-active materials
061B72A7	Code generation using tree pattern marchers
09D2860F	Agent oriented software engineering with INGENIAS
79F746C7	Real-time hardware implementation of symbolic health monitoring for aircraft engine components
7FE39825	A framework for reconfigurable computing: task scheduling and context management
7DEE47CF	The use of digital video recorders (DVRs) for capturing digital video files for use in both The Observer and Ethovision
5F18A2BE	Inline Caching Meets Quickening
489DADD5	An Implementation to transform Business Collaboration Models to executable Process Specifications
0C277C11	Runtime Code Generation for Object Serialization
05011051	Moses: An Automatic Code Generation Tool for Client-Server Applications Written in GENISAS
0C2D3E4D	Architectural concerns and use of a model-driven development framework
80F7F377	Building 2D Low-Discrepancy Sequences for Hierarchical Importance Sampling Using Dodecagonal Aperiodic Tiling
7A17C44D	Code generation and analysis for the functional verification of micro processors
795F6951	Measuring the quality characteristics of assembly code on embedded platforms
7896B85B	Model-driven development of recursive CORBA component assemblies
0A1A7111	Code Generation Approaches for an Automatic Transformation of the Unified Modeling Language t o the
7952E2B9	An Automatic Development Process for Integrated Modular Avionics Software
7E1E7C2E	An approach for modeling and designing software architecture
63B6508E	Design study of a HEAO-C spread spectrum transponder telemetry system for use with the TDRSS subnet
7ED93556	Fault-Tolerant Quantum Computation with Constant Error Rate
800C38E6	High performance computing: the software challenges
80C907D5	The Mirror Oscilloscpoe
7D3142A3	Embedding formally proved code in a smart card: converting B to C
75109E40	Distributed Event Graphs : Formalizing Component-based Modelling and Simulation
8113FBD2	Boxing code for stroke-order free handprinted Chinese character recognition
7577F228	Determinants of software maintenance profiles: an empirical investigation
7EDC9219	Compression-coded genetic algorithms and its application in traffic control
06AC5CF8	Code Composer Studio IDE v2 White Paper
80419A89	Implementation Of Node Energy Based On Encryption Keying
7ED573D8	Software and Hardware Design Issues for Low Complexity High Performance Processor Architecture
6216159A	Data acquisition at the Canadian Forces Aerospace Engineering Test Establishment during the late 1970's
79DEB619	Performance estimation of embedded software with instruction cache modeling
5BAB0EC6	Model-Based Programming: Controlling Embedded Systems by Reasoning About Hidden State
7E31C4BC	An optimising compiler for generated tiny virtual machines
5A69B041	Code Generation Based on Trellis Diagrams
045B65A8	GATEWAYS: A TECHNIQUE FOR ADDING EVENT-DRIVEN BEHAVIOR TO COMPILED UNIT-DELAY SIMULATIONS
77D7B076	RSN Code and Its Application Style
7CEAD896	Towards rapid development of configurable, reliable, and scalable wireless applications
7E8BAA51	Rate distribution between model and signal for multiple descriptions
7795D002	Architecture description language based retargetable symbolic execution
7BF16478	Model-driven automation for simulation-based functional verification
7C500620	Operation Stacking for Ensemble Computations With Variable Convergence
6279AF98	Fast Recompilation of Object Oriented Modules
79AF4701	Development of PCI High-speed Data Transmission Board Based on FPGA-Rocket_I/O
7932BC7C	Process Oriented Analysis for Software Automation
7CC4E936	The design of an OCL query-based debugger for C++
0EA0CFB2	Operating System for Petri Nets-Specified Reconfigurable Embedded Systems
7E286864	An Algorithm for Incremental Timing Analysis
00679AE7	A Prototype for Guideline Checking and Model Transformation in Matlab/Simulink
788479A4	LibGALS: a library for GALS systems design and modeling
7ABC75EB	A note introducing syntax through semantic routines
754B3D8D	Estimation of the Fundamental Vibration Period of Existing RC Buildings in Turkey Utilizing Ambient Vibration Records
77C81F29	Design units - a layered approach for design driven software development
0AFC01BA	On the Performance of Derivative Code Generated by TAMC
7EC1817C	An extensible code generation framework for heterogeneous architectures based on IP-XACT
7D5A5E4E	Dynamite: A Flexible Code Generating Language for Dynamic Programming Methods Used in Sequence Comparison
86149A79	A MATLAB-based code generator for sparse matrix computations
7D75C248	Enable OpenCL Compiler with Open64 Infrastructures
6039A2CA	Applications of MPSX/MIP370 with ECL in optimum configuration of text fixtures in electronic cards assembly and test
5910D92B	Verificación modular de atomicidad en bytecode Java Multi-Thread
7B2E947F	But, Having Said That, ...
60FC1976	LETTER TO THE EDITOR: A symmetry group of a Thue - Morse quasicrystal
7D4E0177	Loop transformations for interface-based hierarchies IN SDF graphs
10A25610	Model-Based Security Engineering with UML
7E3B710E	Embedding remote object mobility in Java RMI
7969D5F4	Interactive presentation: Hard- and software modularity of the NOVA MPSoC platform
7FD90BBA	Model Driven capabilities of the DA-GRS model
3136EC69	Generating Learning Algorithms: Hidden Markov Models as a Case Study
0A79C881	The Magnetic Reconnection Code: an AMR-based fully implicit simulation suite
