7D97E2A4	Information not present<--Symmetric clock synchronization in sensor networks
7AC940F9	Information not present<--The naval observatory--Silent partner in surveying and navigation
768F60FE	Formal Aspects of Computing<--Proof producing synthesis of arithmetic and cryptographic hardware
7EAD307B	Real-Time Systems Symposium<--Towards systematic testing of distributed real-time systems
79D7C0DE	Optics Express<--Quantum key distribution with 1.25 Gbps clock synchronization
7C11A7BF	IEEE Transactions on Parallel and Distributed Systems<--DCS: Distributed Asynchronous Clock Synchronization in Delay Tolerant Networks
7769B76C	IEEE Transactions on Communications<--TDOA Based Positioning in the Presence of Unknown Clock Skew
780F773D	Information not present<--Adaptive inter-media synchronization for multiple session-based uncompressed HD media transport
61E2E6AA	Information not present<--Block 1, phase 1 very long baseline interferometry implementation
7DF3B642	International Conference on Wireless Communications and Mobile Computing<--Energy Aware Passive Clustering in Wireless Mobile Networks
05FD73DB	Information not present<--Network Issues in Clock Synchronization on Distributed Database
76367B21	Information not present<--Power-Efficient Clock Synchronization using Two-Way Timing Message Exchanges in Wireless Sensor Networks
7BBAD7E8	Local Computer Networks<--Evaluation of protocol treatment in 3G networks
792C7037	IEEE Computer Applications in Power<--Synchronized sampling improves fault location
7D83ED01	Symposium on Reliable Distributed Systems<--Probabilistic internal clock synchronization
76CA2D0D	Journal of Parallel and Distributed Computing<--Self-stabilizing byzantine asynchronous unison
80A4A0DB	IEEE Transactions on Computers<--The derivation and experimental verification of clock synchronization theory
7FAE2484	Information not present<--Design and implementation of precision time synchronization system based on IEEE1588
77A5A642	International Symposium on Circuits and Systems<--A 55nm 1GHz one-cycle-locking de-skewing circuit
816BACA9	Principles of Distributed Computing<--A formally verified algorithm for clock synchronization under a hybrid fault model
7C849503	Information not present<--Research on the key technology and application of the packet transmission network
756A3BB8	Principles of Distributed Computing<--Optimal clock synchronization under different delay assumptions
7F2C05C9	Semantics, Knowledge and Grid<--An Adaptive State Detection Service for Manufacturing Grid
5F692529	Information not present<--Time surveying: clock synchronization over packet networks
640ABFBE	Information not present<--MINIMIZING SELECTIVE AVAILABILITY ERROR ON TOPEX GPS MEASUREMENTS
75FDEFF8	IEEE Journal of Solid-state Circuits<--A VCDL-based 60-760-MHz dual-loop DLL with infinite phase-shift capability and adaptive-bandwidth scheme
76EFEF8F	IEEE Transactions on Computers<--Probabilistic clock synchronization in large distributed systems
585EA7D5	Nuclear Physics<--Secure and Self-stabilizing Clock Synchronization in Sensor Networks
7DF7BD51	Global Communications Conference<--Clock and sequence synchronization in diversity switching
7A8B2F1E	Theoretical Computer Science<--Dynamic FTSS in asynchronous systems: The case of unison
7C7604BA	Theoretical and Mathematical Physics<--Clocks and fisher information
805A746B	Journal of Physics: Conference Series<--Post-Minkowskian Gravity: Dark matter as a relativistic inertial effect?
05B27ECE	Information not present<--Automated Formal Verification of the
761EC6CC	Information & Software Technology<--Implementation and timing analysis of Clock Synchronization on a transputer-based replicated system
7678EA89	IEEE Transactions on Instrumentation and Measurement<--A Meteor Burst Clock Synchronization Experiment
7D653EF9	International Journal of Circuit Theory and Applications<--A tight clock synchronization technique for multiprocessor systems
64D7BAAF	Information not present<--A 3-cycle lock time delay-locked loop with a parallel phase detector for low power mobile systems
814F9082	IEEE Transactions on Computers<--Global clock synchronization in sensor networks
7F3CD32B	IEEE Transactions on Communications<--Wavelet-based signal design for reduced jitter timing-recovery
00C8B0A0	Parallel and Distributed Computing Systems (ISCA)<--Analysis of Fault Tolerance in Clock Synchronization Algorithms
7EE5EEF3	Information not present<--Design and fabrication of nano-photonics-based all-optical flip-flop switch
81053507	Conference on Computer as a Tool<--Relating Sampling Period and Control Delay in Distributed Control Systems
692C65EE	Information not present<--Internal Timer Synchronization for Parallel Event Tracing
5CA9C924	Pacific-Asia Conference on Knowledge Discovery and Data Mining<--A Secure Time Synchronization Protocol for Sensor Network
5DC76F21	Information not present<--Relativistic theory for syntonization of clocks in the vicinity of the Earth
797A1F58	IEEE Communications Letters<--Scheme for Measuring Queueing Delay of a Router Using Probe-Gap Model: The Single-Hop Case
812AD91C	Information not present<--ADDLL/VDD-biasing co-design for process characterization, performance calibration, and clock synchronization in variation-tolerant designs
7640A1F8	Information not present<--Estimation of Clock Parameters for Synchronization in Wireless Sensor Networks
815C5EB8	Information not present<--A posteriori agreement for fault-tolerant clock synchronization on broadcast networks
6100876A	Information not present<--High speed PC-based data acquisition in ultrasonics
5F12FE0E	European Symposium on Research in Computer Security<--Freshness Assurance of Authentication Protocols
7B05D034	International Journal of Network Management<--Circuit emulation services over ethernet-part 1: clock synchronization using timestamps
7C29823D	IEEE Journal on Selected Areas in Communications<--Distributed source-destination synchronization using inband clock distribution
80895CFB	International Conference on Computer Communications<--Asynchronous channel hopping for establishing rendezvous in cognitive radio networks
59AEF7A0	Information not present<--The SIRIO-1 timing experiment
7FD592AB	Information not present<--Terminal system and capability for ARPA-NASA high-speed SONET/ATM experiments over NASA's Advanced Communications Technology Satellite
76FDD65A	Wireless and Optical Communications Conference<--Parallel processing clock synchronization-dispersion equalization combining loop in 112Gb/s optical coherent receivers
7A66C171	IEEE Transactions on Automation Science and Engineering<--Real-time operating environmentfor networked control systems
8165F6D5	IEEE Design & Test of Computers<--ScanBist: a multifrequency scan-based BIST method
7EEC594D	Information not present<--Feasibility study of PMU based on IEEE 1588
0196F877	Wireless Algorithms, Systems, and Applications<--Clock Offset Estimation in Wireless Sensor Networks Using Bootstrap Bias Correction
79451CA8	Computational Intelligence<--Research on Time Synchronization of WIA-PA Industrial Wireless Networks
75639CDA	IEEE Potentials<--Photonic crystal-based optical interconnect
5EC472B7	Information not present<--Research on Distributed Time Synchronization in Expressway Toll System
7FA278A2	Vehicular Technology Conference<--An all feedforward synchronization unit for digital radio
7DEEA3C6	International Conference on Engineering of Complex Computer Systems<--High-Precision Relative Clock Synchronization Using Time Stamp Counters
793BE82C	IEEE Communications Magazine<--Packet radio and satellite networks
771EE10A	Elektrotechnik Und Informationstechnik<--FIT-IT-Projekt DARTS: dezentrale fehlertolerante Taktgenerierung
757CDCDE	Celestial Mechanics and Dynamical Astronomy<--The problem of clock synchronization: A relativistic approach
7A53F2B1	Information not present<--Reliable Asynchronous Links for SoC
75F87A49	Information not present<--IEEE 1588 standard for a precision clock synchronization protocol for networked measurement and control systems
7FB0F30E	ACM/IEEE International Conference on Mobile Computing and Networking<--A quorum-based framework for establishing control channels in dynamic spectrum access networks
8310ADF3	Information not present<--무선 네트워크 제어 시스템을 위한 클럭 동기화 메커니즘
7DE9454C	IEEE Transactions on Mobile Computing<--WizSync: Exploiting Wi-Fi Infrastructure for Clock Synchronization in Wireless Sensor Networks
809260B2	Annals of Physical and Rehabilitation Medicine<--Transient control study of erbium-doped fiber amplifiers for reconfigurable DWDM networks
7FCD6B33	IEEE Transactions on Very Large Scale Integration Systems<--Robust Level Converter for Sub-Threshold/Super-Threshold Operation:100 mV to 2.5 V
7F273701	International Conference on Embedded Networked Sensor Systems<--A case against routing-integrated time synchronization
77947FE4	Information not present<--Carrier-aided clock skew estimation for ToA ranging with minimal overhead
80094191	IEEE Transactions on Signal Processing<--On Maximum Likelihood Estimation of Clock Offset and Skew in Networks With Exponential Delays
75DF9DD4	Telecommunications and Radio Engineering<--THEORETICAL AND PRACTICAL ASPECTS OF THE USE OF STOCHASTIC SIGNALS IN TELECOMMUNICATION SYSTEMS
7F379337	General Relativity and Gravitation<--The York map as a Shanmugadhasan canonical transformation in tetrad gravity and the role of non-inertial frames in the geometrical view of the gravitational field
7B459376	Sadhana-academy Proceedings in Engineering Sciences<--Byzantine-resilient distributed computing systems
83CEBD43	Iete Journal of Research<--Synchronization to Microsecond Accuracy of Clocks in India through Television Transmission
