7538AFB4	Signal Processing-image Communication<---A region-based subband coding scheme
7B77FFC3	Signal Processing-image Communication<---Rate-distortion-optimized predictive compression of dynamic 3D mesh sequences
7D89ACE9	International Conference on Image Processing<---Rate-Distortion Optimized Streaming of Authenticated Video
7FD307FB	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion adaptive vector quantization for wavelet image coding
7D9C596A	International Symposium on Circuits and Systems<---Rate-distortion optimized video streaming with smooth quality constraint
64C82BC1	Information not present<---A novel substream extraction for Scalable Video Coding over P2P networks
81156A8B	Information not present<---Complexity reduced mode selection of H.264/AVC intra coding
7F71E437	Multimedia Tools and Applications<---A new unequal error protection scheme based on FMO
7F98E3FE	International Symposium on Circuits and Systems<---Model-based optimal rate control algorithm for real-time hybrid video encoder
7C4A5A53	Multimedia Signal Processing<---Low-Complexity Adaptive Streaming via Optimized A Priori Media Pruning
80F0368A	Information not present<---Unconstrained motion compensated temporal filtering (UMCTF) for efficient and flexible interframe wa
5BBA0691	Information not present<---Hybrid video coding using bi-dimensional matching pursuit
7767CA43	Journal of Mathematical Imaging and Vision<---Level Lines Selection with Variational Models for Segmentation and Encoding
788E56CE	European Transactions on Telecommunications<---Rate—distortion optimal fast thresholding for MPEG—2 image sequence coding
83F4C4B7	Journal of Visual Communication and Image Representation<---Low Complexity Encoder Optimization for HEVC
76971812	Information not present<---MSE optimal bit-rate allocation in JPEG2000 Part 2 compression applied to a 3D data set
75ACEFE2	Ieice Transactions<---Rate-Distortion Optimized Selection of Motion Vectors for Video Transmission over Packet-Loss Channels
2E00D2BF	Information not present<---Fast Mode Decision for MPEG-2 to H.264 Transcoding
7E48AE9F	Information not present<---3-D wavelet video coding with rate-distortion optimizization [optimizization read optimization]
80A3A647	Information not present<---Computational Time Reduction Using Low Complexity Skip Prediction for H.264/Avc Standard
80952260	IEEE Transactions on Consumer Electronics<---Modified rate distortion optimization using inter-block dependence for H.264/AVC intra coding
76ED9C3E	International Conference on Image Processing<---Rate-Distortion Optimization in Dynamic Mesh Compression
7F6C9B54	Information not present<---Efficient block type decision algorithm for H.264/AVC intra-prediction
7EC8A0B9	Information not present<---A Multi-Transform Search Algorithms to Enhance H.264/AVC Performance
7E54DEDE	Picture Coding Symposium<---A hierarchical variable-sized block transform coding scheme for coding efficiency improvement on H.264/AVC
77022F3D	Signal Processing-image Communication<---Error concealment aware rate shaping for wireless video transport
7DA566CF	International Conference on Computer Modeling and Simulation<---Fast and Efficient Intra Mode Selection for H.264/AVC
7D910CB8	IEEE Transactions on Circuits and Systems Ii-express Briefs<---An Efficient Context-Based BPGC Scalable Image Coder
78DC4B55	Information not present<---Fast rate allocation based on distortion estimation modeling in scalable video coding
7CF3D159	IEEE Transactions on Image Processing<---Precompression Quality-Control Algorithm for JPEG 2000
7A5CB0CB	IEEE Transactions on Image Processing<---Coding Visual Features Extracted From Video Sequences
7F421F6E	International Conference on Acoustics, Speech, and Signal Processing<---Two-Stage Mode Selection of H.264/AVC Video Encoding with Rate Distortion Optimization
7BEDFCB5	IEEE Transactions on Image Processing<---Rate-Distortion-Optimized Video Transmission Using Pyramid Vector Quantization
7768AF45	Information not present<---Research on H.264 intra prediction mode algorithm
75280CB3	Visual Communications and Image Processing<---RDOES: a rate-distortion optimized encoding and streaming framework for live video transmission
80A95B1A	International Conference on Image Processing<---Enable Efficient Compound Image Compression in H.264/AVC Intra Coding
7B0CACFE	IEEE Transactions on Image Processing<---Perceptual Video Coding Based on SSIM-Inspired Divisive Normalization
7EE54468	Intelligent Systems Design and Applications<---A Fast Mode Decision Scheme with Variable Block Sizes in H.264/AVC
76383BED	International Conference on Image Processing<---Extending H.264/AVC with a background sprite prediction mode
7D8C9B4A	International Conference on Multimedia and Expo<---Video streaming with diversity
80AAC7BE	Computer Aided Geometric Design<---An efficient bit allocation for compressing normal meshes with an error-driven quantization
7E962A77	IEEE Transactions on Circuits and Systems for Video Technology<---Generalized rate-distortion optimization for motion-compensated video coders
7E8CDDE5	IEEE Transactions on Circuits and Systems for Video Technology<---Efficient Inter Mode Prediction Based on Model Selection and Rate Feedback for H.264/AVC
7EB67D31	International Conference on Image Processing<---Look-ahead coding considering rate/distortion-optimization
7E556501	Designs, Codes and Cryptography<---Low Bit Rate Vector Quantization of Outlier Contaminated Data Based on Shells of Golay Codes
80227905	International Conference on Acoustics, Speech, and Signal Processing<---A Fast Rate-Distortion Optimization Algorithm for H.264/AVC
75188886	International Conference on Image Processing<---Edge-aware intra prediction for depth-map coding
7E32FBF1	Information Sciences, Signal Processing and their Applications<---Fast intra/inter coding mode selection for H.264 encoder
5D2AA80D	Information not present<---Rate distortion optimal contour compression using cubic B-splines
5C5D9BD3	Information not present<---Fast PCRD-Opt computation in JPEG2000
75C153E9	Multimedia Systems<---Layered coding vs. multiple descriptions for video streaming over multiple paths
8177236F	IEEE Transactions on Circuits and Systems for Video Technology<---High-Throughput Architecture for H.264/AVC CABAC Compression System
78A1CCC4	Visual Communications and Image Processing<---Rate-distortion optimized interactive streaming for scalable bitstreams of light fields
7F6DB31B	IEEE Transactions on Multimedia<---Error robust scalable audio streaming over wireless IP networks
7D6BEC87	International Conference on Image Processing<---MOTION COMPENSATED TRANSFORM CODING OF VIDEO USING OPTIMIZATION HIERARCHICAL DISPLACEMENT FIELD AND GLOBAL RATE-DISTORTION
7E9F567F	International Conference on Image Processing<---Complexity Modeling for Motion Compensation in H.264/AVC Decoder
7E1EB7B1	IEEE Signal Processing Letters<---Distribution Preserving Quantization With Dithering and Transformation
7E6B6A7A	Multimedia Signal Processing<---Power-Rate-Distortion Optimization for Multi-Source Video Streaming under Energy Constraints over Ad Hoc Networks
7DFF2101	International Conference on Acoustics, Speech, and Signal Processing<---Rate-distortion optimization for tree-structured source coding with multi-way node decisions
7A3F0F88	Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing<---Improvements on MB-layer Rate Control Scheme for H.264 video Using complexity estimation
81290EA3	IEEE Transactions on Circuits and Systems for Video Technology<---Context Adaptive Lagrange Multiplier (CALM) for Rate-Distortion Optimal Motion Estimation in Video Coding
75CA5322	Information not present<---Efficient Fast Intra Mode Decision using Transform Coefficients
7E7DA49A	IEEE Transactions on Circuits and Systems for Video Technology<---Novel Statistical Modeling, Analysis and Implementation of Rate-Distortion Estimation for H.264/AVC Coders
7D9F1BC8	International Conference on Multimedia and Expo<---Partition-level adaptive interpolation filter for video coding
772BC916	International Conference on Image Processing<---Error Resilient Mode Decision in Scalable Video Coding
7567DDE5	Information Processing and Trusted Computing<---Improvement and Implementation on UMHexagonS Algorithm in H.264 Reference Software
7DE4B63B	IEEE Transactions on Multimedia<---The Virtue of Patience in Low-Complexity Scheduling of Packetized Media With Feedback
7739D42B	International Conference on Image Processing<---A block-adaptive skip mode for inter prediction based on parametric motion models
80B2BF1C	Picture Coding Symposium<---Advanced inpainting-based macroblock prediction with regularized structure propagation in video compression
7DD42EB8	Information not present<---Rate-distortion optimized layered stereoscopic video streaming with raptor codes
