7F1A1204	Information not present<--Active mitigation of induced phase distortion in a GSM SoC
7F65D44C	Information not present<--Mechano-electric feedback effects in a ventricular myocyte model subjected to dynamic changes in mechanical load
7D1FBF39	Information not present<--Grenoble - Les radios FM sur Grenoble
5F3D344F	Information not present<--Design of digitalized SECAM video encoder and decoder system using modified anti cloche filter, error-free square root and BPF
7EB9F1D8	International Conference on Computer Communications<--Global weighted fairness guaranteed congestion avoidance protocol for wireless sensor networks
58361B44	Information not present<--RIESGO DE MUERTE POR INFECCIONES HOSPITALARIAS. DIAGNÓSTICO DE LA OMS
7824897E	Information not present<--Generation of 5 kW/1 THz coherent radiation from pulsed magnetic field gyrotron
77DF3770	Information not present<--Nonlinear identification method corresponding to muscle property variation in FES - experiments in paraplegic patients
12B7A3CE	Information not present<--INVESTIGATION OF DIGITAL DATA COMMUNICATION SYSTEMS (PHASE 2 REPORT)
7F56068F	Vehicular Technology Conference<--Study simulation and measurement evaluation of spread spectrum overlay in analog broadcasting systems
79A9C318	Proceedings of The Institute of Radio Engineers<--An Electron-Ray Tuning Indicator for Frequency Modulation
80291BD7	Information not present<--1.5 /spl mu/m InGaAsP/InP multi-gain-levered-MQW-DFB-LD with high efficiency and large bandwidth FM response
7F5D5205	Information not present<--Spectral Properties of ECG Signal
7F8AA3A7	Information not present<--A comparison of analogue modulation schemes in optical fibre video transmission systems
80F7FFA5	Information not present<--Digital Signal Processing Based Waveform Generator for Flickermeter Calibration Test System
77A1BB34	International Conference on Model Transformation<--Study of lock instruction and fault detect based on the passive atomic frequency standard
7E5D416D	Information not present<--Development of air micro plasma source using a magnetic loop with operation at modulated ultra high frequencies
79D13983	IEEE Transactions on Power Electronics<--Reducing Common-Mode Voltage in Three-Phase Sine-Triangle PWM With Interleaved Carriers
7952099E	Robot and Human Interactive Communication<--R2-D2 Reloaded: A flexible sound synthesis system for sonic human-robot interaction design
791131F7	Information not present<--Use of discrete modulation and a continuous wave local oscillator in a 24 km continuous variable quantum key distribution system
76E4EA8E	Information not present<--Technical characteristics of FTL type no. 20-B UHF television transmitter
75D4BBE6	IEEE Transactions on Circuits and Systems I-regular Papers<--Introduction to the special issue
7592AF86	IEEE Potentials<--Signals and Systems II Part VI: Vestigial-sideband modulation and nonintegral rate changes
731310A5	Information not present<--A frequency modulated PLL for EMI reduction in embedded application
7A53B334	Information not present<--Analysis and performance of a valve-controlled hydraulic servomechanism
63781298	Information not present<--EPPENS EN CU: DOS MURALES, UNA IDENTIDAD
7DC2B76F	Information not present<--Measurement of nonlinearities using spectrum analysis of driven betatron oscillation
7BAAC0C9	IEEE Transactions on Broadcasting<--Linear Phase Networks With Hyperbolic Tangent Function and Their Applications
78527A34	IEEE Transactions on Magnetics<--Magnetic Properties and Large Magnetocaloric Effect in Amorphous Fe-Ag-Ni-Zr for Room-Temperature Magnetic Refrigeration
7D05E8FD	Journal of Lightwave Technology<--Interchannel nonlinear crosstalk in analog polarization modulated WDM systems
7E1B9FE1	Information not present<--New observations on Bias Current variation of op amp oscillators
7582C19B	IEEE Transactions on Aerospace and Electronic Systems<--Omega-K Imaging Algorithm for One-Stationary Bistatic SAR
7FD02A00	Information not present<--A multi-wavelength locker for WDM system
7CD75070	Information not present<--Latest development of near-field communication (NFC) on handsets application
7F4BEE82	IEEE Transactions on Communications<--Spectrally Efficient Digital Transmission Using Analog FM Radios
11E2674B	Information not present<--Opto-Acoustic Studies of Methane Impurities in Argon.
81377C81	IEEE Communications Magazine<--A low-cost desktop software defined radio design environment using MATLAB, simulink, and the RTL-SDR
7F0BBA06	IEEE Transactions on Vehicular Technology<--Performance of one-hop/symbol FHMA for cellular mobile communications
7ECAF1C8	IEEE Transactions on Communications<--Modulation Transfer Noise Effects from a Continuous Digital Carrier to FDM/FM Carriers in Memoryless Nonlinear Devices
58C9F2A3	Information not present<--Accuracy limitations of laser-based ranging techniques in robotic applications
7EF69448	Information not present<--Transmission and Distribution System Reliability Evaluation Based on Three-State Weather Model
628AEC04	International Conference on Acoustics, Speech, and Signal Processing<--Transmultiplexing of multidimensional signals over arbitrary lattices with perfect reconstruction
7F7AD935	Information not present<--A concurrent dual-band/multi-carrier transmitter architecture for power and efficiency enhancement
796FF0ED	International Conference on Communications<--Spur reduction technique for fractional-N frequency synthesizer with MASH 1-1-1-1 Sigma Delta modulator
7F270950	Information not present<--Fault diagnosis for wind turbine gearbox based on wavelet analysis
85924C59	Information not present<--The direction discrimination of single mode VCSEL self-mixing laser doppler velocimeters using automatic tracking triangular wave modulation
7FDD68DD	Global Communications Conference<--Channel reuse strategies for indoor infrared wireless communications
76E3A0F5	Information not present<--Absorption Measurements Using Frequency Modulation Heterodyne Spectroscopy
7654ABF2	Information not present<--Integer-based wavetable synthesis for low-computational embedded systems
57F466BB	Research Works of Air Force Institute of Technology<--Investigation Of Tribologic Processes in Bearing Nodes with the Use of the Fam-C And Fdm-A Methods – The Model With Elevated Passive Resistance
61DCB02D	Information not present<--Simulation of low-frequency modulation of high-current relativistic electron beam at plasma assistance
7A11F453	IEEE Transactions on Biomedical Engineering<--FM/FM Multiplex Radio-Telemetry System for Handling Biological Data
77334EF9	IEEE Transactions on Communications<--Time-Frequency Modulation Diversity to Combat Periodic Impulsive Noise in Narrowband Powerline Communications
8002222C	Information not present<--A 720µW 873MHz–1.008GHz injection-locked frequency multiplier with 0.3V supply voltage in 90nm CMOS
750B9D32	IEEE Sensors Journal<--Non-Imaging MM-Wave FMCW Sensor for Pedestrian Detection
5FD25BA4	Information not present<--Army Packet Radio Network Protocol Study.
751AA073	High Performance Computing<--Fault detection and tolerance mechanisms for future 1000 core systems
8147F2DB	Journal of Lightwave Technology<--Nonharmonic large amplitude modulation of a semiconductor laser in a self-homodyne interferometric optical system
7AC928ED	Information not present<--Reducing uncertainty in interval type-2 fuzzy sets for qualitative improvement in emotion recognition from facial expressions
80BAFECC	IEEE Photonics Technology Letters<--Optical frequency spacing tunable four-channel integrated 1.55 mu m multielectrode distributed-feedback laser array
7FEF78B6	Frontiers in Neuroscience<--Left auditory cortex is involved in pairwise comparisons of the direction of frequency modulated tones.
807932F1	Information not present<--Exact calculation of phase noise of RF digitally controlled oscillator with frequency resolution improved by dithering
771FB0A7	IEEE Signal Processing Letters<--A Discrete Bit Loading Algorithm for FBMC/OQAM
6DF4A149	Information not present<--Optical beam forming of MM-wave array antennas in a 60 GHz radio over fiber system
803333FA	Animal Feed Science and Technology<--Effects of online pretreatment of plant ingredients on processing responses and physical properties in extruded fish feed
7E5360B8	International Conference on Acoustics, Speech, and Signal Processing<--Spectral subtraction on real and imaginary modulation spectra
7D119DEE	Information not present<--Development of Micro-Grid Control Technique
7B1BD298	Information not present<--High performance SAR focusing algorithm and implementation
61D08EEE	Information not present<--Degradation in finite-harmonic subcarrier demodulation
8152C5DA	Journal of Lightwave Technology<--Phase-sensitive interrogation of fiber Bragg grating resonators for sensing applications
7C8E9275	Applied Surface Science<--Determination of tip–sample interaction forces from measured dynamic force spectroscopy curves
7E7B7E3A	IEEE Transactions on Communications<--Carrier Transmission of Binary Data in a Restricted Band
72BE600C	Information not present<--A universal configurable sinusoidal modulator for H-bridge based converters implemented in FPGA
7D220910	Information not present<--Robot-aided therapy on the upper limb of subacute and chronic stroke patients: A biomechanical approach
811E0278	IEEE Transactions on Communications<--A 100 Mbit/s Prototype MSK Modem for Satellite Communications
808B1DF5	Information not present<--Information Transmission by Means of Chaos-Based Frequency Modulation and Adaptive Identification
7EC44E82	IEEE Journal of Quantum Electronics<--Theory for the quantum noise in N-element coupled-cavity semiconductor lasers
811784FD	Information not present<--A C 2 H 2 frequency-stabilized laser diode with a linewidth of 4 kHz and its application to an optical phase-locked loop
7DD1A16D	Information not present<--Enhanced frequency response in monolithically integrated coupled cavity lasers and electro-absorption modulator
13AA4F45	Elektrotechnik Und Informationstechnik<--5520 ユニバーサルデザインを導入した新クリニックの開設 : 視機能に障害のある患者を迎えるためのホスピタリティ・ファシリティマネジメント その1(視覚障害者へのデザイン,建築計画I)
